university,cycle,party,donor_count,donation_count,total_amount
Davidson College,2016,OTH,1,2,1500.00
Davidson College,2020,DEM,26,353,44280.00
Davidson College,2020,REP,1,1,100.00
Davidson College,2020,OTH,3,5,704.00
Davidson College,2024,DEM,15,126,11554.00
Davidson College,2024,OTH,3,8,250.00
Davidson College,2026,DEM,1,1,100.00
Davidson College,2026,OTH,2,12,312.00
DePaul University,2008,DEM,51,123,60754.00
DePaul University,2008,OTH,2,2,400.00
DePaul University,2012,DEM,51,110,61847.00
DePaul University,2012,REP,8,13,10806.00
DePaul University,2012,OTH,6,13,6563.00
DePaul University,2016,DEM,79,650,66025.00
DePaul University,2016,REP,5,12,5801.00
DePaul University,2016,OTH,7,28,2562.00
DePaul University,2020,DEM,110,1697,166482.00
DePaul University,2020,REP,3,5,1202.00
DePaul University,2020,OTH,25,276,19827.00
DePaul University,2024,DEM,58,536,72157.00
DePaul University,2024,REP,3,28,832.00
DePaul University,2024,OTH,15,68,7550.00
DePaul University,2026,DEM,15,78,15045.00
DePaul University,2026,REP,1,180,2771.00
DePaul University,2026,OTH,7,26,1689.00
DePauw University,2008,DEM,8,10,3207.00
DePauw University,2012,DEM,5,9,2462.00
DePauw University,2016,DEM,12,402,11052.00
DePauw University,2016,OTH,1,1,500.00
DePauw University,2020,DEM,16,144,8469.00
DePauw University,2020,OTH,3,12,1492.00
DePauw University,2024,DEM,12,112,13146.00
DePauw University,2024,OTH,2,16,608.00
DePauw University,2026,DEM,3,18,1035.00
DePauw University,2026,OTH,2,65,772.00
Drexel University,2008,DEM,39,75,25425.00
Drexel University,2008,REP,8,11,7376.00
Drexel University,2008,OTH,2,2,825.00
Drexel University,2012,DEM,35,54,20226.00
Drexel University,2012,REP,4,5,6250.00
Drexel University,2012,OTH,3,4,1250.00
Drexel University,2016,DEM,92,683,73859.00
Drexel University,2016,REP,6,16,4990.00
Drexel University,2016,OTH,11,68,6150.00
Drexel University,2020,DEM,135,2008,197862.00
Drexel University,2020,REP,8,40,10459.00
Drexel University,2020,OTH,25,125,12082.00
Drexel University,2024,DEM,82,467,99282.00
Drexel University,2024,REP,3,10,603.00
Drexel University,2024,OTH,11,38,6821.00
Drexel University,2026,DEM,12,36,7064.00
